2023-01-13 12:59:00,240 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack21, pkt_len36
2023-01-13 12:59:00,240 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq22, ack0, pkt_len1060
2023-01-13 12:59:00,240 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack22, pkt_len36
2023-01-13 12:59:00,240 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq23, ack0, pkt_len1060
2023-01-13 12:59:00,240 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack23, pkt_len36
2023-01-13 12:59:00,240 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq24, ack0, pkt_len1060
2023-01-13 12:59:00,240 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack24, pkt_len36
2023-01-13 12:59:00,240 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq25, ack0, pkt_len1060
2023-01-13 12:59:00,240 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack25, pkt_len36
2023-01-13 12:59:00,241 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq26, ack0, pkt_len1060
2023-01-13 12:59:00,241 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack26, pkt_len36
2023-01-13 12:59:00,241 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq27, ack0, pkt_len102023-01-13 12:59:00,241 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack24, pkt_len36
2023-01-13 12:59:00,242 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack25, pkt_len36
2023-01-13 12:59:00,242 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack26, pkt_len36
2023-01-13 12:59:00,242 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack27, pkt_len36
2023-01-13 12:59:00,242 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack28, pkt_len36
2023-01-13 12:59:00,242 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack29, pkt_len36
2023-01-13 12:59:00,242 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack30, pkt_len36
2023-01-13 12:59:00,242 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack31, pkt_len36
2023-01-13 12:59:00,242 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type3 pkt to ('127.0.0.1', 48001) via spiffy, seq32, ack0, pkt_l2023-01-13 12:59:00,242 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq32, ack0, pkt_len1060
2023-01-13 12:59:00,242 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack32, pkt_len36
2023-01-13 12:59:00,242 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq33, ack0, pkt_len1060
2023-01-13 12:59:00,243 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack33, pkt_len36
2023-01-13 12:59:00,243 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq34, ack0, pkt_len1060
2023-01-13 12:59:00,243 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack34, pkt_len36
2023-01-13 12:59:00,243 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq35, ack0, pkt_len1060
2023-01-13 12:59:00,243 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack35, pkt_len36
2023-01-13 12:59:00,243 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq36, ack0, pkt_len1060
2023-01-13 12:59:00,243 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack36, pkt_len36
2023-01-13 12:59:00,243 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq37, ack0, pkt_len1060
2023-01-13 12:59:00,243 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack37, pkt_len36
2023-01-13 12:59:00,244 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq38, ack0, pkt_len1060
2023-01-13 12:59:00,244 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack38, pkt_len36
2023-01-13 12:59:00,244 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq39, ack0, pkt_len1060
2023-01-13 12:59:00,244 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack39, pkt_len36
2023-01-13 12:59:00,244 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq40, ack0, pkt_len1060
2023-01-13 12:59:00,244 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack40, pkt_len36
